City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
288,Souillac,MU,77.38,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
289,Alice Town,BS,80.4,broken clouds,25.7167,-79.3,Bimini Big Game Club Resort & Marina
290,Baglung,NP,79.88,broken clouds,28.2719,83.5898,Hotel Peace Palace
294,Gaya,IN,84.11,haze,24.7833,85.0,Hotel Viraat Inn Gaya
298,Georgetown,MY,89.53,thunderstorm,5.4112,100.3354,Cititel Penang
299,Diffa,NE,78.67,overcast clouds,13.3154,12.6113,ProDAF/Diffa
304,Bubaque,GW,78.03,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
309,Biltine,TD,81.28,scattered clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
312,Kulhudhuffushi,MV,83.68,scattered clouds,6.6221,73.07,Haajy Guest House 1
313,San Cristobal,VE,73.58,few clouds,7.7669,-72.225,Pirineos
318,Grand Gaube,MU,77.4,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
319,Chifeng,CN,81.82,clear sky,42.2683,118.9636,Junyu Tiancheng Hotel
320,Nenjiang,CN,75.11,broken clouds,49.1833,125.2167,Nenjiang Apartment
321,Ishigaki,JP,78.93,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
325,Yatou,CN,83.84,clear sky,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
329,Ternate,ID,84.97,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
331,Pochutla,MX,76.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
338,Puerto Baquerizo Moreno,EC,71.49,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
339,Coro,VE,76.86,clear sky,11.4045,-69.6734,Federal
341,Camden,US,79.72,scattered clouds,39.7835,-74.9663,Shenandoah Village
347,Aginskoye,RU,71.58,scattered clouds,51.1,114.53,Кочевник
348,Jeremie,HT,78.39,overcast clouds,18.65,-74.1167,Auberge’Inn
356,Hovd,MN,70.52,scattered clouds,48.0056,91.6419,Hotel Khovd
365,Vao,NC,73.94,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
368,High Rock,BS,78.82,broken clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
373,Palmer,US,73.67,clear sky,42.1584,-72.3287,Wedgewood Motel
374,Banda Aceh,ID,86.97,few clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
375,Celestun,MX,80.78,scattered clouds,20.8667,-90.4,Posada Lilia
376,Puerto Cabezas,NI,77.25,overcast clouds,14.0351,-83.3888,Cabaña Caribe
377,Maningrida,AU,89.49,scattered clouds,-12.0667,134.2667,Dhukurrdji Lodge
380,Daru,PG,82.96,overcast clouds,-9.0763,143.2092,Daru Lodge
383,Shingu,JP,73.36,scattered clouds,33.7333,135.9833,Shingu UI Hotel
384,Lorengau,PG,86.07,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
387,Ixtapa,MX,76.23,overcast clouds,20.7,-105.2,hotel la terminal
388,Panama City,PA,80.44,overcast clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
393,Morondava,MG,73.24,few clouds,-20.2833,44.2833,La Case Bambou
394,Sonoita,MX,70.81,clear sky,31.85,-112.8333,Hotel internacional
405,Yulara,AU,71.51,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
406,Pundaguitan,PH,84.16,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
410,Ormara,PK,82.96,few clouds,25.2088,64.6357,Kenara Colony house for Rent
411,Padang,ID,87.85,broken clouds,-0.9492,100.3543,Mercure Padang
412,Montague,US,72.21,few clouds,42.5356,-72.5351,Two Rivers Bed and Breakfast
413,Casa Nova,BR,71.24,broken clouds,-9.4167,-41.1333,LÔRO BEACH. DUNAS
416,Singaparna,ID,76.93,overcast clouds,-7.3515,108.111,Wisma Dewi Hotel
417,Aden,YE,86.43,scattered clouds,12.7794,45.0367,Sama Emirate Hotel
425,Siddapur,IN,77.67,overcast clouds,14.3333,74.8833,Ibbani Homestay
427,Tselinnoye,RU,74.32,overcast clouds,53.0833,85.6667,Zolotaya Podkova
428,Buala,SB,84.9,few clouds,-8.145,159.5921,Maringe Lagoon Lodge
431,Gat,IL,71.4,broken clouds,31.61,34.7642,OlusHome
440,Tamale,GH,75.96,overcast clouds,9.4008,-0.8393,Tap Hotel
443,Korla,CN,83.37,overcast clouds,41.7597,86.1469,Gulisitan Hotel
444,Auki,SB,83.89,scattered clouds,-8.7676,160.7034,Auki Motel
448,Mahibadhoo,MV,83.43,overcast clouds,3.7833,72.9667,Omadhoo Inn
454,Ahuimanu,US,82.11,clear sky,21.4447,-157.8378,Paradise Bay Resort
455,Yeppoon,AU,78.58,overcast clouds,-23.1333,150.7333,Villa Mar Colina
456,Wanxian,CN,72.63,overcast clouds,30.8039,108.3897,7Days Inn Chongqing Shiqiaopu
457,Gilbues,BR,74.95,overcast clouds,-9.8317,-45.3439,Hotel Camapuã
458,Dharchula,IN,83.88,overcast clouds,29.85,80.5333,Mahara Hotel
460,Manokwari,ID,78.69,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
466,Arecibo,PR,78.96,few clouds,18.4724,-66.7157,Atlantic Sand Oasis
468,Laguna,US,73.4,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
470,Sabancuy,MX,84.43,scattered clouds,18.9667,-91.1833,pulpo
471,Estelle,US,77.0,clear sky,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
472,Ambon,ID,87.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
478,Sterling,US,81.37,broken clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
480,Faya,SA,75.72,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
483,Idenao,CM,76.8,moderate rain,4.2475,9.0047,Moland Beach Resort
487,Lubao,PH,89.31,overcast clouds,14.9167,120.55,Hacienda Gracia
488,Ocean City,US,78.82,broken clouds,39.2776,-74.5746,Biscayne Suites
490,Jijiga,ET,70.02,overcast clouds,9.35,42.8,RAMAAS HOTEL
493,Altay,CN,80.64,overcast clouds,47.8667,88.1167,Jinqiao Hotel
494,Pandan,PH,83.79,moderate rain,14.0453,124.1694,Bonifacio Lodge
496,Martapura,ID,89.69,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
497,Houma,US,78.01,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
501,Pleasantville,US,77.25,clear sky,39.3898,-74.524,Ramada by Wyndham West Atlantic City
503,Lazaro Cardenas,MX,76.68,scattered clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
505,Abonnema,NG,73.69,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
508,Cape Canaveral,US,77.05,scattered clouds,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
510,Port Hedland,AU,84.25,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
515,Cortes,ES,70.88,light rain,41.9395,-1.4396,Rincon de bu
516,Saint Andrews,US,72.99,broken clouds,34.0454,-81.1293,Baymont by Wyndham Columbia Northwest
517,Pemba,MZ,74.1,few clouds,-12.974,40.5178,Guesthouse Samotina
518,Touros,BR,74.21,light rain,-5.1989,-35.4608,INN NEW HORIZON
519,Paka,MY,89.53,scattered clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
521,Acapulco,MX,80.42,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
523,Riyadh,SA,89.74,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
531,Prestea,GH,73.11,moderate rain,5.4327,-2.1428,Channel 5
534,Blythe,US,82.85,clear sky,33.6103,-114.5964,Rodeway Inn & Suites
535,Quatre Cocos,MU,77.11,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
538,Bolgatanga,GH,78.62,overcast clouds,10.7856,-0.8514,Mama's Place
539,Lalibela,ET,72.27,few clouds,12.0333,39.0333,Honey Land Hotel Lalibela
543,Gizo,SB,84.99,few clouds,-8.103,156.8419,Imagination Island
545,Hargeysa,SO,83.23,overcast clouds,9.56,44.065,City Center Hotel
552,Quelimane,MZ,75.15,scattered clouds,-17.8786,36.8883,Hotel Flamingo
553,Jacqueville,CI,75.42,moderate rain,5.2052,-4.4146,Hotel Le Martin Pecheur
554,Tabou,CI,74.12,moderate rain,4.423,-7.3528,hotêl doufoulougou
555,Sungaipenuh,ID,82.2,broken clouds,-2.0833,101.3833,Penginapan Citra Alam
