City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
204,Teguldet,RU,57.3064,88.1667,71.42,37,31,5.21,scattered clouds
205,Port Blair,IN,11.6667,92.75,87.84,74,75,17.27,mist
206,Suzuka,JP,34.8833,136.5833,82.06,49,11,8.03,few clouds
207,Provideniya,RU,64.3833,-173.3,49.01,53,99,10.65,overcast clouds
208,Belmonte,BR,-15.8631,-38.8828,70.83,76,22,9.28,few clouds
209,Richards Bay,ZA,-28.783,32.0377,62.6,78,100,19.48,overcast clouds
210,Agirish,RU,61.9247,63.0231,38.86,94,100,13.15,light rain
211,Trinidad,BO,-14.8333,-64.9,67.23,79,45,2.68,scattered clouds
212,Muros,ES,42.7762,-9.0603,64.09,92,90,0.81,light rain
213,Tuatapere,NZ,-46.1333,167.6833,44.87,75,63,13.6,broken clouds
214,Lavrentiya,RU,65.5833,-171.0,37.92,83,99,9.48,overcast clouds
215,Sechura,PE,-5.5569,-80.8222,66.13,80,88,14.56,overcast clouds
216,Tautira,PF,-17.7333,-149.15,79.75,72,23,10.76,few clouds
217,Innisfail,AU,-17.5333,146.0333,76.48,74,67,9.44,broken clouds
218,Andapa,MG,-14.65,49.65,68.58,98,100,1.5,light rain
219,Krasnoarmeysk,RU,51.0239,45.6969,46.89,85,100,10.56,light rain
220,San Rafael,AR,-34.6177,-68.3301,53.04,30,100,8.93,overcast clouds
221,Ossora,RU,59.2353,163.0719,40.12,86,98,5.48,overcast clouds
222,Ipubi,BR,-7.6519,-40.1489,67.35,95,70,7.92,broken clouds
223,Leningradskiy,RU,69.3833,178.4167,34.21,96,97,11.05,overcast clouds
224,Prince Rupert,CA,54.3161,-130.3201,56.89,55,0,4.61,clear sky
225,Guilin,CN,25.2819,110.2864,66.31,97,100,4.07,overcast clouds
226,Timra,SE,62.487,17.3257,44.28,65,40,5.75,scattered clouds
227,Sinnamary,GF,5.3833,-52.95,76.69,89,100,9.42,overcast clouds
228,Tabas,IR,33.5959,56.9244,75.42,31,3,16.11,sand
229,Talnakh,RU,69.4865,88.3972,47.21,86,99,6.8,overcast clouds
230,Quarai,BR,-30.3875,-56.4514,50.02,85,99,2.59,overcast clouds
231,Kaitangata,NZ,-46.2817,169.8464,45.28,73,64,13.31,broken clouds
232,Pisco,PE,-13.7,-76.2167,59.05,94,100,5.75,mist
233,Maceio,BR,-9.6658,-35.7353,76.44,83,75,4.61,broken clouds
234,Ambilobe,MG,-13.2,49.05,79.2,70,8,4.65,clear sky
235,Muyezerskiy,RU,63.9333,31.65,39.31,45,67,3.24,broken clouds
236,Adelaide,AU,-34.9333,138.6,69.48,63,40,8.05,scattered clouds
237,Rosario Do Sul,BR,-30.2583,-54.9142,50.25,87,93,0.63,overcast clouds
238,Hambantota,LK,6.1241,81.1185,87.57,65,69,20.76,broken clouds
239,Myitkyina,MM,25.3833,97.4,92.7,48,23,3.0,few clouds
240,Leogane,HT,18.5108,-72.6339,79.0,79,100,3.85,overcast clouds
241,Carovigno,IT,40.708,17.655,74.28,62,2,5.97,clear sky
242,Lubango,AO,-14.9172,13.4925,52.47,28,38,1.48,scattered clouds
243,Port Elizabeth,ZA,-33.918,25.5701,46.69,93,20,3.44,few clouds
244,Sisimiut,GL,66.9395,-53.6735,40.8,62,100,10.71,light rain
245,Tokur,RU,53.1333,132.9,48.47,51,84,2.53,broken clouds
246,Save,BJ,8.0425,2.486,73.83,92,98,4.27,overcast clouds
247,Thompson,CA,55.7435,-97.8558,33.96,80,40,0.0,scattered clouds
248,Haines Junction,CA,60.7522,-137.5108,53.55,30,36,9.22,scattered clouds
249,Kupang,ID,-10.1667,123.5833,88.05,52,6,11.34,clear sky
250,Yumen,CN,40.2833,97.2,82.42,11,0,24.25,clear sky
251,Mattru,SL,7.6244,-11.8332,73.08,98,100,1.5,light rain
252,Sao Jose Da Tapera,BR,-9.5583,-37.3811,68.23,96,86,3.56,overcast clouds
253,Acajutla,SV,13.5928,-89.8275,80.4,82,100,6.04,overcast clouds
254,Amapa,BR,1.0,-52.0,70.56,99,99,1.1,overcast clouds
255,Khani,GE,41.9563,42.9566,60.37,41,0,3.56,clear sky
256,Longyearbyen,SJ,78.2186,15.6401,35.44,80,75,2.3,light snow
257,Rudsar,IR,37.1376,50.288,64.38,63,29,8.05,scattered clouds
258,Verkhoyansk,RU,67.5447,133.385,52.0,47,100,1.28,light rain
259,Itarema,BR,-2.9248,-39.9167,74.17,91,22,7.63,few clouds
260,Saldanha,ZA,-33.0117,17.9442,54.97,82,53,4.07,broken clouds
261,Akyab,MM,20.15,92.9,88.11,67,68,4.83,broken clouds
262,Tessalit,ML,20.1986,1.0114,84.65,17,70,8.93,broken clouds
263,Upernavik,GL,72.7868,-56.1549,28.45,87,100,2.53,overcast clouds
264,Avera,US,33.194,-82.5271,73.54,92,100,9.64,overcast clouds
265,Davila,PH,18.4726,120.5763,85.98,73,91,4.99,overcast clouds
266,Ketchikan,US,55.3422,-131.6461,55.87,54,0,4.61,clear sky
267,Kruisfontein,ZA,-34.0033,24.7314,51.22,87,2,4.45,clear sky
268,Waingapu,ID,-9.6567,120.2641,86.41,59,12,12.97,few clouds
269,Bundaberg,AU,-24.85,152.35,71.22,84,78,5.01,broken clouds
270,Tricase,IT,39.9304,18.3553,67.32,62,5,7.27,clear sky
271,Santiago De Cao,PE,-7.9589,-79.2392,60.93,88,32,9.22,mist
272,Ferkessedougou,CI,9.6,-5.2,72.09,88,100,2.57,overcast clouds
273,Kadoma,JP,34.7333,135.5833,82.6,38,20,9.22,few clouds
274,Bandarbeyla,SO,9.4942,50.8122,89.38,53,94,21.52,overcast clouds
275,Rocha,UY,-34.4833,-54.3333,48.24,89,0,3.94,clear sky
276,Pocao De Pedras,BR,-4.6667,-44.85,70.86,98,84,2.64,broken clouds
277,Demba,CD,-5.51,22.2667,67.42,98,98,0.54,overcast clouds
278,Lawton,US,34.6087,-98.3903,60.71,44,20,23.02,few clouds
279,Mitsamiouli,KM,-11.3847,43.2844,80.19,72,65,6.89,broken clouds
280,Fairbanks,US,64.8378,-147.7164,66.54,35,40,12.66,scattered clouds
281,Katangli,RU,51.7102,143.2326,38.01,97,99,2.19,overcast clouds
282,Mlonggo,ID,-6.5333,110.7,79.59,80,100,4.99,overcast clouds
283,Boa Vista,BR,2.8197,-60.6733,75.18,88,100,2.3,light rain
284,Mondlo,ZA,-27.983,30.7177,50.27,85,100,4.97,overcast clouds
285,Tuy Hoa,VN,13.0833,109.3,88.05,64,100,2.8,overcast clouds
286,Guangzhou,CN,23.1167,113.25,77.88,60,100,9.57,overcast clouds
287,Thunder Bay,CA,48.4001,-89.3168,42.78,87,100,4.61,overcast clouds
288,Souillac,MU,-20.5167,57.5167,77.38,69,75,9.22,light rain
289,Alice Town,BS,25.7167,-79.3,80.4,81,67,16.28,broken clouds
290,Baglung,NP,28.2719,83.5898,79.88,47,72,5.14,broken clouds
291,Kathmandu,NP,27.7167,85.3167,62.82,94,75,6.91,broken clouds
292,Ngunguru,NZ,-35.6167,174.5,60.94,73,100,12.97,overcast clouds
